ID,RUN,Trial ,PostRT,PreRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,Order_Session,PreITI1duration,PostITI1duration
92201,3,RUN3-47,373,302,Source miss,3,0,1,Stimuli\seabag.jpg,Right,Food,4,4000,4000
92201,3,RUN3-48,443,373,Source hit,1,1,1,Stimuli\cooler01.jpg,Left,Outdoor & sport,4,4000,4000
92201,4,RUN4-2,319,387,Source miss,3,0,1,Stimuli\wheelchair.jpg,Right,Vehicle,2,2000,6000
92201,4,RUN4-3,712,319,Source missatribution,2,0,1,Stimuli\frisbee.jpg,Right,Outdoor & sport,2,6000,2000
92201,4,RUN4-4,587,712,Source hit,1,1,1,Stimuli\lei.jpg,Right,Decorations & Gift,2,2000,4000
92201,4,RUN4-5,444,587,Source hit,1,1,1,Stimuli\mousetrap.jpg,Left,Household article,2,4000,6000
92201,4,RUN4-6,638,444,Source miss,3,0,1,Stimuli\staple.jpg,Right,Stationary,2,6000,6000
92201,4,RUN4-7,545,638,Source hit,1,1,1,Stimuli\christmasball.jpg,Left,Decorations & Gift,2,6000,2000
92201,4,RUN4-8,309,545,Source hit,1,1,1,Stimuli\baseballbat.jpg,Left,Outdoor & sport,2,2000,2000
92201,4,RUN4-9,512,309,Source hit,1,1,1,Stimuli\sponge01.jpg,Right,Household article,2,2000,6000
92201,4,RUN4-10,390,512,Source hit,1,1,1,Stimuli\marble.jpg,Left,Game & entertainment,2,6000,2000
92201,4,RUN4-11,338,390,Source hit,1,1,1,Stimuli\mrpotatohead.jpg,Left,Game & entertainment,2,2000,4000
92201,4,RUN4-12,519,338,Source miss,3,0,1,Stimuli\sableknife02.jpg,Left,Kitchen,2,4000,6000
92201,4,RUN4-13,331,519,Source hit,1,1,1,Stimuli\pottery.jpg,Left,Decorations & Gift,2,6000,4000
92201,4,RUN4-14,386,331,Source hit,1,1,1,Stimuli\bag.jpg,Left,Stationary,2,4000,4000
92201,4,RUN4-15,826,386,Source hit,1,1,1,Stimuli\shoulderpad.jpg,Right,Outdoor & sport,2,4000,2000
92201,4,RUN4-16,392,826,Source hit,1,1,1,Stimuli\keyboard.jpg,Left,Musical instrument,2,2000,2000
92201,4,RUN4-17,591,392,Source hit,1,1,1,Stimuli\dumptruck.jpg,Right,Vehicle,2,2000,6000
92201,4,RUN4-18,468,591,Source hit,1,1,1,Stimuli\jeans01.jpg,Right,Clothing,2,6000,4000
92201,4,RUN4-19,577,468,Source hit,1,1,1,Stimuli\amphora.jpg,Right,Decorations & Gift,2,4000,2000
92201,4,RUN4-20,370,577,Source hit,1,1,1,Stimuli\waterbottle01b.jpg,Left,Food,2,2000,2000
92201,4,RUN4-21,397,370,No response,0,0,0,Stimuli\gutteranddrainpipe.jpg,Left,Building infrastructure,2,2000,6000
92201,4,RUN4-22,597,397,miss,4,0,0,Stimuli\parkingmeter.jpg,Right,Building infrastructure,2,6000,4000
92201,4,RUN4-23,579,597,Source missatribution,2,0,1,Stimuli\raspberry01.jpg,Right,Food,2,4000,6000
92201,4,RUN4-24,469,579,Source hit,1,1,1,Stimuli\spacerover.jpg,Left,Vehicle,2,6000,2000
92201,4,RUN4-25,558,469,Source miss,3,0,1,Stimuli\grill.jpg,Right,Kitchen,2,2000,6000
92201,4,RUN4-26,403,558,Source miss,3,0,1,Stimuli\safetyglasses.jpg,Left,Clothing,2,6000,2000
92201,4,RUN4-27,368,403,Source hit,1,1,1,Stimuli\ashtray01.jpg,Left,Household article,2,2000,2000
92201,4,RUN4-28,400,368,Source hit,1,1,1,Stimuli\photocopier.jpg,Left,Electronics,2,2000,6000
92201,4,RUN4-29,510,400,Source hit,1,1,1,Stimuli\ruins.jpg,Left,Building infrastructure,2,6000,4000
92201,4,RUN4-30,474,510,Source hit,1,1,1,Stimuli\macaroni01.jpg,Right,Food,2,4000,4000
92201,4,RUN4-31,710,474,miss,4,0,0,Stimuli\moccasin.jpg,Right,Clothing,2,4000,2000
92201,4,RUN4-32,426,710,Source hit,1,1,1,Stimuli\honeycomb.jpg,Left,Food,2,2000,6000
92201,4,RUN4-33,617,426,Source miss,3,0,1,Stimuli\carbattery.jpg,Right,Electronics,2,6000,6000
92201,4,RUN4-34,450,617,Source hit,1,1,1,Stimuli\microphone01.jpg,Left,Electronics,2,6000,4000
92201,4,RUN4-35,657,450,Source miss,3,0,1,Stimuli\fonduefork01.jpg,Right,Kitchen,2,4000,4000
92201,4,RUN4-36,477,657,Source missatribution,2,0,1,Stimuli\pacifier02d.jpg,Right,Game & entertainment,2,4000,2000
92201,4,RUN4-37,499,477,Source missatribution,2,0,1,Stimuli\styrofoamcup.jpg,Left,Kitchen,2,2000,6000
92201,4,RUN4-38,540,499,Source miss,3,0,1,Stimuli\scissors01.jpg,Left,Stationary,2,6000,2000
92201,4,RUN4-39,367,540,Source hit,1,1,1,Stimuli\woodenshoe.jpg,Left,Clothing,2,2000,6000
92201,4,RUN4-40,330,367,Source hit,1,1,1,Stimuli\metronome.jpg,Right,Musical instrument,2,6000,2000
92201,4,RUN4-41,466,330,Source hit,1,1,1,Stimuli\road02.jpg,Right,Building infrastructure,2,2000,6000
92201,4,RUN4-42,527,466,Source hit,1,1,1,Stimuli\sumber3.jpg,Right,Game & entertainment,2,6000,4000
92201,4,RUN4-43,696,527,miss,4,0,0,Stimuli\rollerblade.jpg,Left,Outdoor & sport,2,4000,4000
92201,4,RUN4-44,479,696,Source hit,1,1,1,Stimuli\wagonwheel.jpg,Left,Vehicle,2,4000,4000
92201,4,RUN4-45,547,479,Source hit,1,1,1,Stimuli\ruler04.jpg,Right,Stationary,2,4000,4000
92201,4,RUN4-46,334,547,Source missatribution,2,0,1,Stimuli\gong.jpg,Right,Musical instrument,2,4000,4000
92201,4,RUN4-47,334,334,Source miss,3,0,1,Stimuli\cabasa.jpg,Left,Musical instrument,2,4000,6000
92201,4,RUN4-48,625,334,Source hit,1,1,1,Stimuli\shimble.jpg,Right,Household article,2,6000,4000
94719,1,RUN1-2,221,0,Source hit,1,1,1,Stimuli\8ball.jpg,Left,Game & entertainment,1,6000,2000
94719,1,RUN1-3,348,221,Source hit,1,1,1,Stimuli\oneholepunch.jpg,Right,Stationary,1,2000,4000
94719,1,RUN1-4,269,348,Source hit,1,1,1,Stimuli\gearshift.jpg,Right,Vehicle,1,4000,6000
