Index,ID,RUN,Trial,PreRT,PostRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,RET_RT,Order_Session,PreITI1duration,PostITI1duration
3860,55862,1,RUN1-7,0,392,Source hit,1,1,1,Stimuli\partyhat.jpg,Right,Decorations & Gift,1056,3,4000,2000
3861,55862,1,RUN1-8,392,768,Source miss,3,0,1,Stimuli\rearviewmirror.jpg,Left,Vehicle,1479,3,2000,4000
3862,55862,1,RUN1-9,768,356,Source hit,1,1,1,Stimuli\airhockeytable.jpg,Right,Game & entertainment,1709,3,4000,4000
3863,55862,1,RUN1-10,356,384,Source hit,1,1,1,Stimuli\ball02.jpg,Right,Game & entertainment,921,3,4000,2000
3864,55862,1,RUN1-11,384,0,miss,4,0,0,Stimuli\slidetray.jpg,Right,Electronics,1303,3,2000,2000
3865,55862,1,RUN1-12,0,233,miss,4,0,0,Stimuli\bridge.jpg,Right,Building infrastructure,914,3,2000,4000
3866,55862,1,RUN1-13,233,789,Source hit,1,1,1,Stimuli\blackolive.jpg,Right,Food,893,3,4000,6000
3867,55862,1,RUN1-14,789,883,Source hit,1,1,1,Stimuli\gift01.jpg,Left,Decorations & Gift,806,3,6000,2000
3868,55862,1,RUN1-15,883,309,Source hit,1,1,1,Stimuli\racquetballracket.jpg,Right,Outdoor & sport,1285,3,2000,2000
3869,55862,1,RUN1-16,309,260,Source hit,1,1,1,Stimuli\saxophone.jpg,Right,Musical instrument,2176,3,2000,4000
3870,55862,1,RUN1-17,260,251,Source hit,1,1,1,Stimuli\sravelmug.jpg,Left,Kitchen,920,3,4000,6000
3871,55862,1,RUN1-18,251,0,Source miss,3,0,1,Stimuli\bowlingball.jpg,Right,Outdoor & sport,1564,3,6000,2000
3872,55862,1,RUN1-19,0,365,Source hit,1,1,1,Stimuli\guitarcase.jpg,Left,Musical instrument,1128,3,2000,2000
3873,55862,1,RUN1-20,365,250,Source hit,1,1,1,Stimuli\plasticgallon.jpg,Left,Household article,1597,3,2000,6000
3874,55862,1,RUN1-21,250,391,Source hit,1,1,1,Stimuli\womenwashroomsign.jpg,Left,Building infrastructure,709,3,6000,6000
3875,55862,1,RUN1-22,391,395,Source miss,3,0,1,Stimuli\flyswatter.jpg,Left,Household article,1726,3,6000,2000
3876,55862,1,RUN1-23,395,363,Source hit,1,1,1,Stimuli\bassguitar.jpg,Right,Musical instrument,1156,3,2000,2000
3877,55862,1,RUN1-24,363,265,miss,4,0,0,Stimuli\rowboat.jpg,Right,Vehicle,969,3,2000,6000
3878,55862,1,RUN1-25,265,1045,Source hit,1,1,1,Stimuli\crumpledpaper.jpg,Left,Stationary,1999,3,6000,4000
3879,55862,1,RUN1-26,1045,344,Source miss,3,0,1,Stimuli\fireextinguisher01.jpg,Right,Household article,1728,3,4000,4000
3880,55862,1,RUN1-27,344,494,Source hit,1,1,1,Stimuli\radiator.jpg,Right,Building infrastructure,781,3,4000,6000
3881,55862,1,RUN1-28,494,624,Source hit,1,1,1,Stimuli\speedball.jpg,Left,Outdoor & sport,1203,3,6000,4000
3882,55862,1,RUN1-29,624,227,No response,0,0,0,Stimuli\giftbow02b.jpg,Right,Decorations & Gift,NA,3,4000,4000
3883,55862,1,RUN1-30,227,452,Source hit,1,1,1,Stimuli\postitnote.jpg,Left,Stationary,849,3,4000,2000
3884,55862,1,RUN1-31,452,698,Source miss,3,0,1,Stimuli\remotecontrol04.jpg,Right,Electronics,1256,3,2000,6000
3885,55862,1,RUN1-32,698,374,Source hit,1,1,1,Stimuli\salsa.jpg,Left,Food,1182,3,6000,6000
3886,55862,1,RUN1-33,374,571,Source miss,3,0,1,Stimuli\glassescase.jpg,Left,Clothing,1419,3,6000,6000
3887,55862,1,RUN1-34,571,225,No response,0,0,0,Stimuli\espressomachine.jpg,Left,Kitchen,NA,3,6000,6000
3888,55862,1,RUN1-35,225,469,Source miss,3,0,1,Stimuli\portapotty.jpg,Left,Building infrastructure,1300,3,6000,4000
3889,55862,1,RUN1-36,469,440,Source hit,1,1,1,Stimuli\gearshift.jpg,Right,Vehicle,817,3,4000,6000
3890,55862,1,RUN1-37,440,0,Source miss,3,0,1,Stimuli\button01.jpg,Right,Clothing,1395,3,6000,2000
3891,55862,1,RUN1-38,0,289,Source hit,1,1,1,Stimuli\cookiecutter.jpg,Right,Kitchen,862,3,2000,4000
